resume_index,job_role,resume_skills,required_skills,matched_skills,missing_skills,required_skill_count,matched_skill_count,skill_alignment_percentage
684,Meteorologist,"communication, data analysis, flutter, meteorology, problem solving, research, terraform, weather analysis","communication, data analysis, meteorology, mongodb, problem solving, research, time management, user interface, weather analysis","communication, data analysis, meteorology, problem solving, research, weather analysis","mongodb, time management, user interface",9,6,66.67
685,Technical Lead,"architecture, code review, communication, kotlin, leadership, mentoring, mobile ui, problem solving, sql, typescript, ux, web accessibility","architecture, code review, communication, leadership, mentoring, postgresql, problem solving, project management","architecture, code review, communication, leadership, mentoring, problem solving","postgresql, project management",8,6,75.0
686,Enterprise Architect,"communication, enterprise architecture, kubernetes, leadership, responsive design, strategic design, technical expertise, vision, vue.js","adaptability, business development, communication, enterprise architecture, leadership, sql, strategic design, technical expertise, vision, vue.js, web design","communication, enterprise architecture, leadership, strategic design, technical expertise, vision, vue.js","adaptability, business development, sql, web design",11,7,63.64
687,Magento Developer,"app testing, e-commerce, javascript, jira, magento, mysql, php, problem solving","e-commerce, javascript, magento, mysql, nosql, php, problem solving","e-commerce, javascript, magento, mysql, php, problem solving",nosql,7,6,85.71
688,Cashier,"accuracy, adobe creative suite, cash handling, communication, customer service, friendliness, point of sale, strategic planning","accuracy, agile, cash handling, communication, customer service, friendliness, graphql, point of sale","accuracy, cash handling, communication, customer service, friendliness, point of sale","agile, graphql",8,6,75.0
689,C++ Developer,"c#, c++, debugging, django, javascript, memory management, performance, problem solving, system programming","budget management, c++, debugging, memory management, penetration testing, performance, problem solving, responsive design, system programming, wireframing","c++, debugging, memory management, performance, problem solving, system programming","budget management, penetration testing, responsive design, wireframing",10,6,60.0
690,Cloud Architect,"aws, azure, gcp, javascript, kanban, networking, rust, security, system design","aws, azure, gcp, javascript, jira, networking, nosql, security, system design, teamwork","aws, azure, gcp, javascript, networking, security, system design","jira, nosql, teamwork",10,7,70.0
691,SOC Analyst,"communication, incident response, java, log analysis, problem solving, security protocols, siem, tableau, threat detection","communication, docker, figma, financial analysis, gcp, graphic design, incident response, jenkins, leadership, log analysis, marketing, mentoring, problem solving, pytorch, scala, security protocols, serverless, siem, sql, tableau, technical writing, threat detection, typescript","communication, incident response, log analysis, problem solving, security protocols, siem, tableau, threat detection","docker, figma, financial analysis, gcp, graphic design, jenkins, leadership, marketing, mentoring, pytorch, scala, serverless, sql, technical writing, typescript",23,8,34.78
692,Pharmacist,"accuracy, attention to detail, business development, communication, drug interactions, html, patient counseling, perl, pharmacy knowledge, power bi, time management","accuracy, attention to detail, communication, drug interactions, microservices, patient counseling, pharmacy knowledge, prototyping, serverless, shell scripting","accuracy, attention to detail, communication, drug interactions, patient counseling, pharmacy knowledge","microservices, prototyping, serverless, shell scripting",10,6,60.0
693,IT Field Technician,"customer service, documentation, hardware installation, microservices, networking, power bi, problem solving, react, rust, troubleshooting","adobe creative suite, customer service, documentation, hardware installation, networking, problem solving, troubleshooting","customer service, documentation, hardware installation, networking, problem solving, troubleshooting",adobe creative suite,7,6,85.71
694,Software Test Engineer,"api testing, documentation, manual testing, node.js, problem solving, selenium, swift, test automation","angular, api testing, business acumen, deep learning, documentation, manual testing, postgresql, problem solving, selenium, swift, test automation, web design","api testing, documentation, manual testing, problem solving, selenium, swift, test automation","angular, business acumen, deep learning, postgresql, web design",12,7,58.33
695,Social Media Content Creator,"analytics, communication, content creation, creativity, machine learning, photography, sales, social media, videography","analytics, communication, content creation, creativity, nosql, photography, pl management, power bi, rest api, social media, videography","analytics, communication, content creation, creativity, photography, social media, videography","nosql, pl management, power bi, rest api",11,7,63.64
696,Content Creator,"communication, content creation, creativity, database design, kubernetes, social media, technical skills, video production","communication, content creation, creativity, go, social media, technical skills, video production","communication, content creation, creativity, social media, technical skills, video production",go,7,6,85.71
697,Videographer,"creativity, editing, lighting, machine learning, storytelling, technical skills, time management, video shooting","confluence, creativity, editing, lighting, redis, storytelling, technical skills, video shooting","creativity, editing, lighting, storytelling, technical skills, video shooting","confluence, redis",8,6,75.0
698,Salesforce Administrator,"administration, configuration, data management, database design, machine learning, presentation skills, salesforce, support, user management","adaptability, administration, android, c++, cd, ci, configuration, data management, database design, salesforce, support, user management, web accessibility","administration, configuration, data management, database design, salesforce, support, user management","adaptability, android, c++, cd, ci, web accessibility",13,7,53.85
699,Head Chef,"cassandra, creativity, culinary skills, food safety, kitchen management, leadership, network security, recipe development","android, creativity, culinary skills, food safety, kitchen management, leadership, presentation skills, react, recipe development","creativity, culinary skills, food safety, kitchen management, leadership, recipe development","android, presentation skills, react",9,6,66.67
700,Personal Trainer,"anatomy, c++, communication, data analysis, fitness knowledge, motivation, problem solving, training program design","adobe creative suite, anatomy, angular, app testing, azure, business development, communication, documentation, fitness knowledge, gcp, graphql, jenkins, jupyter, motivation, postgresql, presentation skills, problem solving, python, scikit-learn, training program design","anatomy, communication, fitness knowledge, motivation, problem solving, training program design","adobe creative suite, angular, app testing, azure, business development, documentation, gcp, graphql, jenkins, jupyter, postgresql, presentation skills, python, scikit-learn",20,6,30.0
701,Retail Supervisor,"customer service, documentation, inventory, network security, oracle, problem solving, sales, security architecture, staff training, supervision","css, customer service, docker, inventory, problem solving, ruby, sales, security architecture, staff training, supervision","customer service, inventory, problem solving, sales, security architecture, staff training, supervision","css, docker, ruby",10,7,70.0
702,Performance Tester,"agile, analysis, azure, jmeter, load testing, performance testing, problem solving, reporting, scala, swift, web accessibility","analysis, jmeter, load testing, machine learning, performance testing, problem solving, pytorch, reporting","analysis, jmeter, load testing, performance testing, problem solving, reporting","machine learning, pytorch",8,6,75.0
703,Full Stack Developer,"adobe creative suite, css, database, flask, git, html, javascript, node.js, react, strategic planning, terraform","css, database, decision making, encryption, git, html, javascript, mentoring, mobile security, node.js, react","css, database, git, html, javascript, node.js, react","decision making, encryption, mentoring, mobile security",11,7,63.64
704,Informatica Developer,"ansible, aws, communication, data integration, data quality, etl, flask, informatica, performance tuning, project management, sql","adobe creative suite, creativity, data integration, data quality, etl, informatica, market research, mentoring, nosql, performance tuning, responsive design, seo, sql","data integration, data quality, etl, informatica, performance tuning, sql","adobe creative suite, creativity, market research, mentoring, nosql, responsive design, seo",13,6,46.15
705,Pilot,"confluence, decision making, flying, navigation, problem solving, responsibility, risk assessment, safety, technical knowledge","adaptability, decision making, flying, navigation, responsibility, safety, technical knowledge","decision making, flying, navigation, responsibility, safety, technical knowledge",adaptability,7,6,85.71
706,Massage Therapist,"anatomy, communication, customer service, empathy, massage therapy, problem solving, security architecture, shell scripting, web design, wireframing","agile, anatomy, cassandra, communication, customer service, empathy, massage therapy, mobile security, problem solving","anatomy, communication, customer service, empathy, massage therapy, problem solving","agile, cassandra, mobile security",9,6,66.67
707,Compensation & Benefits Manager,"adaptability, azure, benefits administration, communication, compensation strategy, compliance, excel, market analysis, power bi","benefits administration, communication, compensation strategy, compliance, excel, market analysis, redis, security architecture, sql","benefits administration, communication, compensation strategy, compliance, excel, market analysis","redis, security architecture, sql",9,6,66.67
708,Automotive Engineer,"cad, cassandra, deep learning, materials, mongodb, problem solving, project management, testing, thermal systems, vehicle systems","cad, materials, microservices, problem solving, tensorflow, testing, thermal systems, vehicle systems","cad, materials, problem solving, testing, thermal systems, vehicle systems","microservices, tensorflow",8,6,75.0
709,SOC Analyst,"communication, incident response, log analysis, oracle, security protocols, shell scripting, siem, threat detection","communication, docker, figma, financial analysis, gcp, graphic design, incident response, jenkins, leadership, log analysis, marketing, mentoring, problem solving, pytorch, scala, security protocols, serverless, siem, sql, tableau, technical writing, threat detection, typescript","communication, incident response, log analysis, security protocols, siem, threat detection","docker, figma, financial analysis, gcp, graphic design, jenkins, leadership, marketing, mentoring, problem solving, pytorch, scala, serverless, sql, tableau, technical writing, typescript",23,6,26.09
710,School Principal,"budgeting, community relations, educational leadership, encryption, management, scrum, staff management, vision","budgeting, community relations, educational leadership, management, problem solving, prototyping, ruby, staff management, vision","budgeting, community relations, educational leadership, management, staff management, vision","problem solving, prototyping, ruby",9,6,66.67
711,Warehouse Manager,"decision making, docker, html, inventory control, jenkins, organization, problem solving, safety, staff management, warehouse management","c++, inventory control, kanban, organization, problem solving, safety, staff management, warehouse management","inventory control, organization, problem solving, safety, staff management, warehouse management","c++, kanban",8,6,75.0
712,Wildlife Biologist,"app testing, communication, data analysis, field work, mysql, problem solving, research, wildlife biology","communication, data analysis, field work, problem solving, research, sales, wildlife biology","communication, data analysis, field work, problem solving, research, wildlife biology",sales,7,6,85.71
713,Haskell Developer,"concurrency, functional programming, haskell, lambda calculus, node.js, oracle, problem solving, react, type system","concurrency, functional programming, haskell, lambda calculus, problem solving, tensorflow, type system","concurrency, functional programming, haskell, lambda calculus, problem solving, type system",tensorflow,7,6,85.71
714,Environmental Engineer,"analysis, django, environmental assessment, flutter, mongodb, regulations, sustainability, waste management, water systems","analysis, environmental assessment, regulations, scikit-learn, sustainability, waste management, water systems","analysis, environmental assessment, regulations, sustainability, waste management, water systems",scikit-learn,7,6,85.71
715,Visual Merchandiser,"arrangement, confluence, creativity, customer service, ios, lighting, sales, visual design","arrangement, confluence, creativity, customer service, jira, leadership, lighting, mentoring, network security, sales, sql, typescript, user interface, visual design","arrangement, confluence, creativity, customer service, lighting, sales, visual design","jira, leadership, mentoring, network security, sql, typescript, user interface",14,7,50.0
716,Community Outreach Coordinator,"communication, community engagement, cultural sensitivity, network security, organization, problem solving, program management, risk assessment, wireframing","budget management, communication, community engagement, cultural sensitivity, kubernetes, mongodb, organization, problem solving, program management, project management, ruby, security protocols","communication, community engagement, cultural sensitivity, organization, problem solving, program management","budget management, kubernetes, mongodb, project management, ruby, security protocols",12,6,50.0
717,Go Developer,"api development, concurrency, docker, financial analysis, go, microservices, php, problem solving","api development, concurrency, docker, go, microservices, pandas, problem solving, prototyping, swift","api development, concurrency, docker, go, microservices, problem solving","pandas, prototyping, swift",9,6,66.67
718,CMO,"brand management, business development, digital transformation, executive communication, flask, market intelligence, sql, strategic leadership, swift, vision","agile, brand management, digital transformation, executive communication, market intelligence, strategic leadership, vision","brand management, digital transformation, executive communication, market intelligence, strategic leadership, vision",agile,7,6,85.71
719,HR Operations Manager,"c#, compliance, data analysis, documentation, hr systems, leadership, problem solving, process management","compliance, data analysis, flutter, hr systems, leadership, mysql, problem solving, process management, scala","compliance, data analysis, hr systems, leadership, problem solving, process management","flutter, mysql, scala",9,6,66.67
720,Bartender,"bartending, communication, customer service, figma, kanban, kotlin, memory, problem solving, project management, team work, typescript","bartending, communication, customer service, memory, negotiation, pl management, postgresql, problem solving, project management, team work","bartending, communication, customer service, memory, problem solving, project management, team work","negotiation, pl management, postgresql",10,7,70.0
721,Electrical Engineer,"cad, circuit design, css, electrical systems, mobile security, power systems, technical knowledge, troubleshooting, typescript, vue.js","cad, circuit design, css, electrical systems, mobile security, power systems, shell scripting, technical knowledge, troubleshooting, user experience","cad, circuit design, css, electrical systems, mobile security, power systems, technical knowledge, troubleshooting","shell scripting, user experience",10,8,80.0
722,Radio Host,"communication, critical thinking, improvisation, interviewing, negotiation, personality, problem solving, public speaking, risk assessment","c#, communication, decision making, improvisation, interviewing, negotiation, personality, problem solving, public speaking, vue.js","communication, improvisation, interviewing, negotiation, personality, problem solving, public speaking","c#, decision making, vue.js",10,7,70.0
723,Academic Advisor,"academic planning, communication, counseling, organization, penetration testing, php, problem solving, student support, tensorflow","academic planning, communication, counseling, organization, problem solving, prototyping, rust, scrum, security architecture, student support, typescript, web design","academic planning, communication, counseling, organization, problem solving, student support","prototyping, rust, scrum, security architecture, typescript, web design",12,6,50.0
724,Automotive Engineer,"aws, cad, flutter, materials, mentoring, problem solving, scikit-learn, testing, thermal systems, vehicle systems","cad, materials, microservices, problem solving, tensorflow, testing, thermal systems, vehicle systems","cad, materials, problem solving, testing, thermal systems, vehicle systems","microservices, tensorflow",8,6,75.0
725,IoT Engineer,"c++, embedded systems, iot technology, networking, prototyping, react native, sensors, system design","c++, confluence, embedded systems, iot technology, networking, sensors, system design","c++, embedded systems, iot technology, networking, sensors, system design",confluence,7,6,85.71
726,Judge,"app testing, communication, decision making, ethics, fairness, java, leadership, legal expertise, mysql, power bi, ruby","communication, creativity, decision making, ethics, fairness, jupyter, leadership, legal expertise, microservices","communication, decision making, ethics, fairness, leadership, legal expertise","creativity, jupyter, microservices",9,6,66.67
727,Video Editor,"attention to detail, audio editing, color grading, creativity, encryption, mentoring, storytelling, video editing software","attention to detail, audio editing, color grading, creativity, decision making, gcp, oracle, postgresql, ruby, storytelling, tableau, video editing software","attention to detail, audio editing, color grading, creativity, storytelling, video editing software","decision making, gcp, oracle, postgresql, ruby, tableau",12,6,50.0
728,Full Stack Developer,"critical thinking, css, database, documentation, git, html, javascript, mentoring, node.js, react, tableau","css, database, decision making, encryption, git, html, javascript, mentoring, mobile security, node.js, react","css, database, git, html, javascript, mentoring, node.js, react","decision making, encryption, mobile security",11,8,72.73
729,Logistics Manager,"cost optimization, data analysis, distribution, firewalls, fleet management, graphql, logistics planning, react, react native, software, supplier management","business development, cost optimization, distribution, encryption, fleet management, logistics planning, presentation skills, software, supplier management","cost optimization, distribution, fleet management, logistics planning, software, supplier management","business development, encryption, presentation skills",9,6,66.67
730,Shell Script Developer,"automation, bash, linux, problem solving, shell scripting, sql, system administration, tensorflow","automation, bash, financial analysis, linux, problem solving, shell scripting, system administration","automation, bash, linux, problem solving, shell scripting, system administration",financial analysis,7,6,85.71
731,Hadoop Developer,"big data, business acumen, distributed computing, figma, hadoop, hdfs, java, mapreduce, pl management","big data, distributed computing, hadoop, hdfs, java, mapreduce, negotiation, pytorch","big data, distributed computing, hadoop, hdfs, java, mapreduce","negotiation, pytorch",8,6,75.0
732,Line Cook,"accuracy, cooking, database design, flask, food safety, jupyter, kitchen skills, sales, speed, teamwork","accuracy, confluence, cooking, food safety, kitchen skills, negotiation, speed, teamwork","accuracy, cooking, food safety, kitchen skills, speed, teamwork","confluence, negotiation",8,6,75.0
733,Director,"budget control, communication, compliance, database design, decision making, department management, figma, leadership, strategic planning, time management","budget control, communication, compliance, decision making, department management, kotlin, leadership, responsive design, strategic planning, time management","budget control, communication, compliance, decision making, department management, leadership, strategic planning, time management","kotlin, responsive design",10,8,80.0
734,IT Field Technician,"customer service, documentation, flutter, hardware installation, jenkins, networking, problem solving, query optimization, risk assessment, teamwork, troubleshooting","adobe creative suite, customer service, documentation, hardware installation, networking, problem solving, troubleshooting","customer service, documentation, hardware installation, networking, problem solving, troubleshooting",adobe creative suite,7,6,85.71
735,C# Developer,".net framework, api development, azure, c#, jenkins, linq, oracle, sql",".net framework, api development, azure, c#, linq, shell scripting, sql",".net framework, api development, azure, c#, linq, sql",shell scripting,7,6,85.71
736,Sous Chef,"creativity, culinary skills, flutter, food safety, kitchen management, kotlin, leadership, rest api, strategic planning, training","adaptability, creativity, css, culinary skills, flutter, food safety, kitchen management, leadership, rest api, training","creativity, culinary skills, flutter, food safety, kitchen management, leadership, rest api, training","adaptability, css",10,8,80.0
737,Counselor,"active listening, adaptability, communication, counseling, empathy, nosql, problem solving, swift, tableau, treatment planning","active listening, azure, business acumen, communication, counseling, empathy, postgresql, problem solving, rest api, treatment planning","active listening, communication, counseling, empathy, problem solving, treatment planning","azure, business acumen, postgresql, rest api",10,6,60.0
738,Software Architect,"architecture patterns, c++, cloudformation, leadership, microservices, mongodb, multiple languages, scalability, system design, user experience","architecture patterns, kubernetes, leadership, microservices, multiple languages, power bi, scalability, system design, web accessibility","architecture patterns, leadership, microservices, multiple languages, scalability, system design","kubernetes, power bi, web accessibility",9,6,66.67
739,Vue Developer,"api integration, app testing, css, html, javascript, jira, mentoring, vue.js, vuex","api integration, css, documentation, html, javascript, rest api, vue.js, vuex","api integration, css, html, javascript, vue.js, vuex","documentation, rest api",8,6,75.0
740,CNC Machinist,"attention to detail, cnc machines, creativity, html, jupyter, power bi, precision, problem solving, react native, safety, technical knowledge","attention to detail, cnc machines, market research, precision, problem solving, safety, technical knowledge, user experience","attention to detail, cnc machines, precision, problem solving, safety, technical knowledge","market research, user experience",8,6,75.0
741,Writer,"attention to detail, communication, creativity, decision making, node.js, research, storytelling, writing","attention to detail, communication, creativity, jenkins, react native, research, storytelling, writing","attention to detail, communication, creativity, research, storytelling, writing","jenkins, react native",8,6,75.0
742,Cloud Architect,"android, aws, azure, financial analysis, gcp, javascript, network security, networking, security, system design","aws, azure, gcp, javascript, jira, networking, nosql, security, system design, teamwork","aws, azure, gcp, javascript, networking, security, system design","jira, nosql, teamwork",10,7,70.0
743,IT Consultant,"communication, it knowledge, problem solving, project management, prototyping, rest api, seo, system design, technical expertise","communication, it knowledge, problem solving, project management, system design, technical expertise, time management","communication, it knowledge, problem solving, project management, system design, technical expertise",time management,7,6,85.71
744,Sustainability Consultant,"analysis, business acumen, communication, environmental knowledge, firewalls, ios, kubernetes, postgresql, problem solving, sustainability strategy, typescript","analysis, business acumen, cloudformation, communication, creativity, docker, environmental knowledge, graphic design, problem solving, redis, sql, sustainability strategy","analysis, business acumen, communication, environmental knowledge, problem solving, sustainability strategy","cloudformation, creativity, docker, graphic design, redis, sql",12,6,50.0
745,Aerospace Engineer,"aerodynamics, business development, cad, design, django, financial analysis, matlab, physics, structural analysis","aerodynamics, cad, design, matlab, physics, structural analysis","aerodynamics, cad, design, matlab, physics, structural analysis",,6,6,100.0
746,Writer,"attention to detail, communication, creativity, docker, pl management, research, storytelling, writing","attention to detail, communication, creativity, jenkins, react native, research, storytelling, writing","attention to detail, communication, creativity, research, storytelling, writing","jenkins, react native",8,6,75.0
747,Angular Developer,"angular, api integration, app testing, c#, css, javascript, marketing, rxjs, typescript","angular, api integration, css, go, javascript, rxjs, sales, seo, serverless, sql, statistics, typescript, user interface","angular, api integration, css, javascript, rxjs, typescript","go, sales, seo, serverless, sql, statistics, user interface",13,6,46.15
748,Coach,"adaptability, athletic knowledge, business development, coaching, communication, database design, leadership, motivation, redis, training program design","athletic knowledge, coaching, communication, leadership, motivation, prototyping, training program design","athletic knowledge, coaching, communication, leadership, motivation, training program design",prototyping,7,6,85.71
749,Talend Developer,"cloudformation, data integration, data quality, etl, graphic design, java, network security, penetration testing, sql, talend","data integration, data quality, etl, java, power bi, sql, talend","data integration, data quality, etl, java, sql, talend",power bi,7,6,85.71
750,Salesforce Developer,"apex, crm, lightning, mobile security, postgresql, problem solving, prototyping, salesforce, visualforce","adobe creative suite, apex, crm, lightning, problem solving, salesforce, visualforce","apex, crm, lightning, problem solving, salesforce, visualforce",adobe creative suite,7,6,85.71
751,Microbiologist,"c#, communication, data analysis, laboratory work, microbiology, precision, problem solving, research, responsive design, sales","adobe creative suite, agile, data analysis, financial analysis, laboratory work, microbiology, pandas, precision, problem solving, react, research, swift","data analysis, laboratory work, microbiology, precision, problem solving, research","adobe creative suite, agile, financial analysis, pandas, react, swift",12,6,50.0
752,Laboratory Manager,"c++, equipment maintenance, figma, laboratory management, leadership, pl management, quality control, safety, scientific knowledge, security architecture","communication, decision making, docker, equipment maintenance, laboratory management, leadership, quality control, react native, safety, scientific knowledge, user experience","equipment maintenance, laboratory management, leadership, quality control, safety, scientific knowledge","communication, decision making, docker, react native, user experience",11,6,54.55
753,Clinical Data Manager,"attention to detail, business acumen, clinical data, database management, mobile ui, pl management, problem solving, python, regulatory compliance, statistical analysis, teamwork, ux","attention to detail, clinical data, css, database management, jenkins, problem solving, regulatory compliance, statistical analysis","attention to detail, clinical data, database management, problem solving, regulatory compliance, statistical analysis","css, jenkins",8,6,75.0
754,Loss Prevention Manager,"communication, investigation, leadership, machine learning, problem solving, redis, security, surveillance, tableau, tensorflow","communication, creativity, flask, investigation, leadership, mobile security, node.js, pl management, postgresql, problem solving, security, surveillance, tableau, time management","communication, investigation, leadership, problem solving, security, surveillance, tableau","creativity, flask, mobile security, node.js, pl management, postgresql, time management",14,7,50.0
755,Social Worker,"case management, communication, counseling, crisis intervention, empathy, market research, problem solving, react, sql, web design","case management, communication, counseling, crisis intervention, empathy, problem solving","case management, communication, counseling, crisis intervention, empathy, problem solving",,6,6,100.0
756,Real Estate Agent,"communication, critical thinking, customer service, django, marketing, negotiation, property knowledge, sales","communication, customer service, machine learning, marketing, negotiation, perl, property knowledge, sales","communication, customer service, marketing, negotiation, property knowledge, sales","machine learning, perl",8,6,75.0
757,Agricultural Engineer,"agricultural systems, analysis, compliance, equipment design, gcp, presentation skills, problem solving, query optimization, sustainability, technical knowledge","agricultural systems, analysis, equipment design, gcp, presentation skills, problem solving, sustainability, technical knowledge","agricultural systems, analysis, equipment design, gcp, presentation skills, problem solving, sustainability, technical knowledge",,8,8,100.0
758,Jupyter Developer,"app testing, budget management, cd, ci, collaboration, data analysis, documentation, jupyter notebooks, python, visualization, web accessibility","collaboration, creativity, data analysis, documentation, gcp, jupyter notebooks, power bi, python, visualization","collaboration, data analysis, documentation, jupyter notebooks, python, visualization","creativity, gcp, power bi",9,6,66.67
759,Tax Attorney,"analytical skills, c++, communication, jira, legal research, planning, tax law, writing","analytical skills, android, communication, legal research, planning, tax law, web accessibility, wireframing, writing","analytical skills, communication, legal research, planning, tax law, writing","android, web accessibility, wireframing",9,6,66.67
760,Production Manager,"equipment maintenance, flutter, problem solving, production planning, quality control, safety, staff management, time management","cd, ci, equipment maintenance, problem solving, production planning, quality control, safety, staff management","equipment maintenance, problem solving, production planning, quality control, safety, staff management","cd, ci",8,6,75.0
761,Clinical Data Manager,"app testing, attention to detail, clinical data, database management, machine learning, problem solving, react, regulatory compliance, statistical analysis","attention to detail, clinical data, css, database management, jenkins, problem solving, regulatory compliance, statistical analysis","attention to detail, clinical data, database management, problem solving, regulatory compliance, statistical analysis","css, jenkins",8,6,75.0
762,Process Improvement Manager,"change management, critical thinking, data analysis, graphic design, leadership, lean manufacturing, process analysis, python, six sigma","c++, change management, data analysis, jenkins, leadership, lean manufacturing, market research, presentation skills, process analysis, react native, sales, security protocols, six sigma","change management, data analysis, leadership, lean manufacturing, process analysis, six sigma","c++, jenkins, market research, presentation skills, react native, sales, security protocols",13,6,46.15
763,Account Executive,"account management, crm, negotiation, product knowledge, relationship building, ruby, sales, wireframing","account management, crm, graphic design, negotiation, product knowledge, prototyping, react, relationship building, sales","account management, crm, negotiation, product knowledge, relationship building, sales","graphic design, prototyping, react",9,6,66.67
764,Dentist,"attention to detail, clinical skills, compassion, dental procedures, diagnosis, nosql, patient communication, power bi, rust, web design","attention to detail, clinical skills, communication, compassion, dental procedures, diagnosis, html, patient communication, pytorch, sql","attention to detail, clinical skills, compassion, dental procedures, diagnosis, patient communication","communication, html, pytorch, sql",10,6,60.0
765,Diesel Mechanic,"diesel engines, equipment knowledge, problem solving, safety, tableau, teamwork, technical skills, terraform, troubleshooting, vue.js","database design, diesel engines, equipment knowledge, go, problem solving, redis, safety, technical skills, troubleshooting","diesel engines, equipment knowledge, problem solving, safety, technical skills, troubleshooting","database design, go, redis",9,6,66.67
766,Power BI Developer,"dashboard development, data visualization, dax, excel, mysql, network security, power bi, sql","adobe creative suite, angular, dashboard development, data visualization, dax, excel, leadership, network security, power bi, sql, strategic planning, web design","dashboard development, data visualization, dax, excel, network security, power bi, sql","adobe creative suite, angular, leadership, strategic planning, web design",12,7,58.33
767,Sports Agent,"business acumen, communication, negotiation, networking, power bi, sales, sports knowledge, sql, time management","adaptability, business acumen, communication, docker, microservices, negotiation, networking, sales, scikit-learn, sports knowledge","business acumen, communication, negotiation, networking, sales, sports knowledge","adaptability, docker, microservices, scikit-learn",10,6,60.0
768,Editor,"attention to detail, communication, content editing, critical thinking, data analysis, leadership, management, organization, prototyping, rust, writing","attention to detail, communication, content editing, management, organization, rust, writing","attention to detail, communication, content editing, management, organization, rust, writing",,7,7,100.0
769,Videographer,"creativity, database design, editing, lighting, mentoring, serverless, statistics, storytelling, technical skills, video shooting","confluence, creativity, editing, lighting, redis, storytelling, technical skills, video shooting","creativity, editing, lighting, storytelling, technical skills, video shooting","confluence, redis",8,6,75.0
770,Oracle DBA,"ansible, backup recovery, database administration, oracle database, performance tuning, redis, security, sql","agile, android, backup recovery, communication, critical thinking, database administration, figma, oracle, oracle database, performance tuning, query optimization, responsive design, security, sql","backup recovery, database administration, oracle database, performance tuning, security, sql","agile, android, communication, critical thinking, figma, oracle, query optimization, responsive design",14,6,42.86
771,Videographer,"creativity, documentation, editing, lighting, redis, sales, storytelling, technical skills, video shooting","confluence, creativity, editing, lighting, redis, storytelling, technical skills, video shooting","creativity, editing, lighting, redis, storytelling, technical skills, video shooting",confluence,8,7,87.5
772,Business Development Manager,"business development strategy, communication, go, market analysis, negotiation, networking, power bi, sales, user interface","ansible, business development strategy, communication, database design, market analysis, negotiation, networking, postgresql, sales","business development strategy, communication, market analysis, negotiation, networking, sales","ansible, database design, postgresql",9,6,66.67
773,Learning & Development Manager,"coaching, curriculum development, e-learning, graphic design, leadership, project management, shell scripting, sql, tableau, training design","coaching, curriculum development, e-learning, leadership, machine learning, project management, training design","coaching, curriculum development, e-learning, leadership, project management, training design",machine learning,7,6,85.71
774,College Professor,"azure, communication, mentoring, php, publication, research, seo, serverless, subject matter expertise, teaching","communication, financial analysis, mentoring, power bi, publication, pytorch, react, research, subject matter expertise, teaching","communication, mentoring, publication, research, subject matter expertise, teaching","financial analysis, power bi, pytorch, react",10,6,60.0
775,Financial Analyst,"angular, compliance, excel, financial modeling, python, redis, risk analysis, statistics, tableau, valuation","excel, figma, financial modeling, kotlin, python, redis, risk analysis, statistics, valuation","excel, financial modeling, python, redis, risk analysis, statistics, valuation","figma, kotlin",9,7,77.78
776,Looker Developer,"adobe creative suite, analytics, critical thinking, dashboard development, data visualization, looker, lookml, problem solving, rest api, sql","analytics, cassandra, critical thinking, dashboard development, data visualization, looker, lookml, microservices, scikit-learn, sql","analytics, critical thinking, dashboard development, data visualization, looker, lookml, sql","cassandra, microservices, scikit-learn",10,7,70.0
777,Clinical Data Manager,"attention to detail, clinical data, database management, market research, microservices, problem solving, pytorch, regulatory compliance, statistical analysis, time management","attention to detail, clinical data, css, database management, jenkins, problem solving, regulatory compliance, statistical analysis","attention to detail, clinical data, database management, problem solving, regulatory compliance, statistical analysis","css, jenkins",8,6,75.0
778,Audit Manager,"audit procedures, aws, communication, compliance, internal controls, leadership, mobile security, risk assessment, scala, vue.js","audit procedures, aws, communication, compliance, html, internal controls, leadership, risk assessment, tensorflow","audit procedures, aws, communication, compliance, internal controls, leadership, risk assessment","html, tensorflow",9,7,77.78
779,Data Analyst,"ansible, data visualization, deep learning, excel, jupyter, project management, python, sql, statistical analysis, tableau","ansible, data visualization, excel, leadership, python, sql, statistical analysis, tableau","ansible, data visualization, excel, python, sql, statistical analysis, tableau",leadership,8,7,87.5
780,Judge,"communication, decision making, ethics, fairness, figma, ios, leadership, legal expertise, machine learning, web design","communication, creativity, decision making, ethics, fairness, jupyter, leadership, legal expertise, microservices","communication, decision making, ethics, fairness, leadership, legal expertise","creativity, jupyter, microservices",9,6,66.67
781,Email Marketing Specialist,"analytics, automation platforms, b testing, copywriting, email campaign management, mongodb, segmentation, technical writing","analytics, automation platforms, b testing, copywriting, email campaign management, scrum, segmentation, wireframing","analytics, automation platforms, b testing, copywriting, email campaign management, segmentation","scrum, wireframing",8,6,75.0
782,Data Scientist,"data analysis, machine learning, python, scala, sql, statistics, tensorflow, wireframing","business acumen, data analysis, machine learning, power bi, python, sql, statistics, tensorflow","data analysis, machine learning, python, sql, statistics, tensorflow","business acumen, power bi",8,6,75.0
783,Community Outreach Coordinator,"communication, community engagement, cultural sensitivity, java, organization, problem solving, program management, security protocols","budget management, communication, community engagement, cultural sensitivity, kubernetes, mongodb, organization, problem solving, program management, project management, ruby, security protocols","communication, community engagement, cultural sensitivity, organization, problem solving, program management, security protocols","budget management, kubernetes, mongodb, project management, ruby",12,7,58.33
