resume_index,actual_job_role,rank,recommended_job_role,semantic_similarity
2674,Content Creator,4,IT Field Technician,34.52
2674,Content Creator,5,Data Scientist,34.18
2675,Conservation Officer,1,Environmental Engineer,54.1
2675,Conservation Officer,2,Scrum Master,50.93
2675,Conservation Officer,3,Conservation Officer,43.81
2675,Conservation Officer,4,Sustainability Consultant,43.47
2675,Conservation Officer,5,Environmental Scientist,42.66
2676,Account Executive,1,Management Consultant,52.66
2676,Account Executive,2,Business Development Manager,49.24
2676,Account Executive,3,Product Marketing Manager,47.43
2676,Account Executive,4,Marketing Manager,45.73
2676,Account Executive,5,Learning & Development Manager,45.43
2677,Fitness Manager,1,Fitness Manager,48.88
2677,Fitness Manager,2,Training Manager,43.33
2677,Fitness Manager,3,Athletic Trainer,42.04
2677,Fitness Manager,4,Marketing Manager,39.82
2677,Fitness Manager,5,Scrum Master,38.62
2678,Electrical Utilities Manager,1,Safety Engineer,44.36
2678,Electrical Utilities Manager,2,Learning & Development Manager,43.87
2678,Electrical Utilities Manager,3,Compliance Officer,43.66
2678,Electrical Utilities Manager,4,SAP Developer,42.65
2678,Electrical Utilities Manager,5,Data Engineer,42.36
2679,Customer Service Representative,1,Customer Success Manager,44.38
2679,Customer Service Representative,2,Solutions Engineer,41.59
2679,Customer Service Representative,3,Quality Assurance Manager,40.04
2679,Customer Service Representative,4,Security Engineer,39.22
2679,Customer Service Representative,5,IT Field Technician,38.9
2680,Wildlife Biologist,1,Wildlife Biologist,56.38
2680,Wildlife Biologist,2,Livestock Manager,40.02
2680,Wildlife Biologist,3,Learning & Development Manager,39.99
2680,Wildlife Biologist,4,Veterinary Technician,39.33
2680,Wildlife Biologist,5,Scrum Master,37.16
2681,Bartender,1,Solutions Engineer,46.45
2681,Bartender,2,Scrum Master,46.28
2681,Bartender,3,Learning & Development Manager,44.96
2681,Bartender,4,Management Consultant,42.86
2681,Bartender,5,Software Engineer,41.1
2682,Swift Developer,1,Software Engineer,53.84
2682,Swift Developer,2,Swift Developer,51.03
2682,Swift Developer,3,Salesforce Developer,49.83
2682,Swift Developer,4,Data Engineer,49.77
2682,Swift Developer,5,Software Test Engineer,48.24
2683,Psychologist,1,Psychologist,47.75
2683,Psychologist,2,Counselor,44.21
2683,Psychologist,3,Massage Therapist,40.88
2683,Psychologist,4,Physical Therapist,38.03
2683,Psychologist,5,Occupational Therapist,37.93
2684,Automotive Engineer,1,Automotive Engineer,57.73
2684,Automotive Engineer,2,Solutions Engineer,45.44
2684,Automotive Engineer,3,Software Engineer,42.99
2684,Automotive Engineer,4,Software Test Engineer,42.5
2684,Automotive Engineer,5,Mechanical Engineer,41.94
2685,Automotive Engineer,1,Automotive Engineer,55.12
2685,Automotive Engineer,2,Solutions Engineer,51.45
2685,Automotive Engineer,3,Civil Engineer,49.15
2685,Automotive Engineer,4,Software Test Engineer,48.85
2685,Automotive Engineer,5,Mechanical Engineer,48.58
2686,Release Manager,1,Security Engineer,49.37
2686,Release Manager,2,Jupyter Developer,47.7
2686,Release Manager,3,IT Project Manager,46.22
2686,Release Manager,4,React Developer,45.72
2686,Release Manager,5,Solutions Engineer,44.76
2687,Pharmacist,1,Pharmacist,47.62
2687,Pharmacist,2,Clinical Data Manager,41.74
2687,Pharmacist,3,Business Consultant,37.81
2687,Pharmacist,4,Strategy Consultant,37.25
2687,Pharmacist,5,Management Consultant,35.69
2688,Military Officer,1,Strategy Consultant,47.83
2688,Military Officer,2,Learning & Development Manager,45.33
2688,Military Officer,3,Military Officer,41.74
2688,Military Officer,4,MongoDB Developer,41.26
2688,Military Officer,5,Management Consultant,41.09
2689,Psychiatrist,1,Psychologist,43.32
2689,Psychiatrist,2,Counselor,38.87
2689,Psychiatrist,3,Psychiatrist,38.76
2689,Psychiatrist,4,Occupational Therapist,36.86
2689,Psychiatrist,5,Medical Technologist,35.83
2690,Cloud Architect,1,Cloud Architect,43.7
2690,Cloud Architect,2,Security Engineer,38.16
2690,Cloud Architect,3,QA Engineer,34.93
2690,Cloud Architect,4,Mobile Developer iOS,34.31
2690,Cloud Architect,5,Scala Developer,34.02
2691,Pre-Sales Engineer,1,Software Test Engineer,54.75
2691,Pre-Sales Engineer,2,Oracle Applications Developer,53.18
2691,Pre-Sales Engineer,3,Software Engineer,51.84
2691,Pre-Sales Engineer,4,DevOps Engineer,49.01
2691,Pre-Sales Engineer,5,Salesforce Developer,48.67
2692,Ethical Hacker,1,Security Engineer,50.25
2692,Ethical Hacker,2,Security Tester,49.03
2692,Ethical Hacker,3,DevOps Engineer,48.35
2692,Ethical Hacker,4,Vue Developer,45.31
2692,Ethical Hacker,5,DevSecOps Engineer,44.34
2693,Software Test Engineer,1,Software Test Engineer,56.45
2693,Software Test Engineer,2,Data Engineer,51.74
2693,Software Test Engineer,3,Security Engineer,49.16
2693,Software Test Engineer,4,Solutions Engineer,48.04
2693,Software Test Engineer,5,Software Engineer,47.34
2694,Executive Assistant,1,Administrative Assistant,52.7
2694,Executive Assistant,2,Executive Assistant,50.79
2694,Executive Assistant,3,Compliance Officer,47.25
2694,Executive Assistant,4,Technical Support Specialist,43.8
2694,Executive Assistant,5,Learning & Development Manager,43.35
2695,Delivery Driver,1,Compliance Officer,42.02
2695,Delivery Driver,2,Safety Engineer,37.99
2695,Delivery Driver,3,Chief Marketing Officer,37.37
2695,Delivery Driver,4,Operations Manager,37.07
2695,Delivery Driver,5,Learning & Development Manager,36.81
2696,Frontend Developer,1,Web Designer,53.84
2696,Frontend Developer,2,React Developer,52.91
2696,Frontend Developer,3,UX Designer,47.31
2696,Frontend Developer,4,Electronics Engineer,44.16
2696,Frontend Developer,5,Instructional Designer,43.17
2697,Technical Account Manager,1,Management Consultant,51.1
2697,Technical Account Manager,2,Business Development Manager,48.14
2697,Technical Account Manager,3,Software Engineer,46.95
2697,Technical Account Manager,4,Learning & Development Manager,46.84
2697,Technical Account Manager,5,Technical Account Manager,46.15
2698,Taxi Driver,1,Taxi Driver,45.72
2698,Taxi Driver,2,Bus Driver,43.18
2698,Taxi Driver,3,Data Scientist,37.43
2698,Taxi Driver,4,Automotive Engineer,36.12
2698,Taxi Driver,5,Data Analyst,36.08
2699,Kotlin Developer,1,Software Engineer,54.88
2699,Kotlin Developer,2,Electronics Engineer,50.6
2699,Kotlin Developer,3,Network Engineer,50.53
2699,Kotlin Developer,4,Mobile Developer Android,50.39
2699,Kotlin Developer,5,Software Test Engineer,49.83
2700,Demand Planner,1,Analytics Engineer,52.84
2700,Demand Planner,2,Data Analyst,51.59
2700,Demand Planner,3,Business Analyst,51.51
2700,Demand Planner,4,Academic Data Analyst,51.14
2700,Demand Planner,5,Demand Planner,47.51
2701,Store Manager,1,Sales Manager,44.7
2701,Store Manager,2,Customer Success Manager,44.51
2701,Store Manager,3,Data Warehouse Architect,44.47
2701,Store Manager,4,Warehouse Manager,43.79
2701,Store Manager,5,Management Consultant,41.26
2702,SOC Analyst,1,Security Engineer,42.72
2702,SOC Analyst,2,Security Tester,42.01
2702,SOC Analyst,3,Security Guard,41.58
2702,SOC Analyst,4,DevOps Engineer,40.02
2702,SOC Analyst,5,Cybersecurity Specialist,39.83
2703,Grant Writer,1,Web Designer,45.1
2703,Grant Writer,2,Software Engineer,41.75
2703,Grant Writer,3,Project Engineer,40.51
2703,Grant Writer,4,Solutions Engineer,39.89
2703,Grant Writer,5,Pre-Sales Engineer,38.28
2704,Nurse,1,Registered Nurse,45.88
2704,Nurse,2,Nurse,43.25
2704,Nurse,3,Nursing Manager,42.59
2704,Nurse,4,Healthcare Administrator,34.93
2704,Nurse,5,Clinical Data Manager,32.79
2705,Jupyter Developer,1,Jupyter Developer,55.41
2705,Jupyter Developer,2,Python Developer,48.82
2705,Jupyter Developer,3,Data Engineer,45.85
2705,Jupyter Developer,4,Data Scientist,45.13
2705,Jupyter Developer,5,Academic Data Analyst,43.58
2706,Clinical Lab Scientist,1,Tableau Specialist,56.72
2706,Clinical Lab Scientist,2,Clinical Lab Scientist,45.97
2706,Clinical Lab Scientist,3,Clinical Data Manager,43.13
2706,Clinical Lab Scientist,4,Safety Engineer,41.18
2706,Clinical Lab Scientist,5,Laboratory Manager,41.15
2707,Surgeon,1,Medical Technologist,52.26
2707,Surgeon,2,Training Specialist,51.53
2707,Surgeon,3,AI/ML Specialist,49.0
2707,Surgeon,4,Technical Support Specialist,46.34
2707,Surgeon,5,Healthcare Administrator,42.97
2708,Farmer,1,Agricultural Engineer,51.07
2708,Farmer,2,Learning & Development Manager,47.05
2708,Farmer,3,Farm Manager,45.12
2708,Farmer,4,Solutions Engineer,44.92
2708,Farmer,5,Management Consultant,44.71
2709,Data Warehouse Architect,1,Data Warehouse Architect,56.73
2709,Data Warehouse Architect,2,Enterprise Architect,49.03
2709,Data Warehouse Architect,3,Cloud Architect,47.81
2709,Data Warehouse Architect,4,Data Engineer,47.66
2709,Data Warehouse Architect,5,IT Consultant,44.69
2710,Frontend Developer,1,Security Engineer,47.92
2710,Frontend Developer,2,Electronics Engineer,43.9
2710,Frontend Developer,3,Solutions Engineer,41.85
2710,Frontend Developer,4,Vue Developer,41.67
2710,Frontend Developer,5,Blockchain Developer,40.68
2711,Training Manager,1,MongoDB Developer,51.34
2711,Training Manager,2,Learning & Development Manager,44.02
2711,Training Manager,3,Training Manager,39.68
2711,Training Manager,4,Java Backend Developer,36.96
2711,Training Manager,5,Executive Assistant,34.26
2712,Security Guard,1,Security Engineer,51.41
2712,Security Guard,2,Security Guard,46.21
2712,Security Guard,3,Cybersecurity Analyst,43.94
2712,Security Guard,4,Cybersecurity Specialist,43.52
2712,Security Guard,5,Safety Engineer,43.27
2713,Social Worker,1,Social Worker,51.46
2713,Social Worker,2,Scrum Master,44.65
2713,Social Worker,3,Counselor,43.29
2713,Social Worker,4,Management Consultant,43.17
2713,Social Worker,5,Community Outreach Coordinator,41.69
2714,Real Estate Agent,1,Real Estate Agent,49.3
2714,Real Estate Agent,2,Real Estate Broker,47.66
2714,Real Estate Agent,3,Pre-Sales Engineer,40.46
2714,Real Estate Agent,4,Digital Marketing Manager,36.07
2714,Real Estate Agent,5,Content Marketing Manager,35.94
2715,Farm Manager,1,Farm Manager,49.37
2715,Farm Manager,2,Sustainability Consultant,49.26
2715,Farm Manager,3,Management Consultant,48.33
2715,Farm Manager,4,Chief Marketing Officer,45.75
2715,Farm Manager,5,Marketing Manager,45.13
2716,Aerospace Engineer,1,Aerospace Engineer,59.99
2716,Aerospace Engineer,2,Security Engineer,49.68
2716,Aerospace Engineer,3,Structural Engineer,47.45
2716,Aerospace Engineer,4,Software Test Engineer,47.03
2716,Aerospace Engineer,5,Automotive Engineer,44.42
2717,Tableau Specialist,1,Data Engineer,54.59
2717,Tableau Specialist,2,Data Scientist,49.95
2717,Tableau Specialist,3,Analytics Engineer,49.45
2717,Tableau Specialist,4,Data Analyst,48.36
2717,Tableau Specialist,5,Academic Data Analyst,47.91
2718,Plumber,1,Solutions Engineer,45.31
2718,Plumber,2,Safety Engineer,44.79
2718,Plumber,3,Technical Support Specialist,40.25
2718,Plumber,4,Redis Developer,39.07
2718,Plumber,5,Pre-Sales Engineer,37.98
2719,Content Creator,1,Scrum Master,52.08
2719,Content Creator,2,Social Media Content Creator,39.3
2719,Content Creator,3,Content Creator,38.93
2719,Content Creator,4,Learning & Development Manager,38.38
2719,Content Creator,5,QA Engineer,36.71
2720,Director,1,Business Development Manager,59.11
2720,Director,2,Learning & Development Manager,52.55
2720,Director,3,Management Consultant,51.39
2720,Director,4,Strategy Consultant,48.84
2720,Director,5,Business Consultant,46.19
2721,Personal Trainer,1,Training Manager,50.29
2721,Personal Trainer,2,Training Specialist,47.76
2721,Personal Trainer,3,Athletic Trainer,46.64
2721,Personal Trainer,4,Personal Trainer,43.88
2721,Personal Trainer,5,Fitness Manager,42.1
2722,Power BI Developer,1,Data Engineer,51.58
2722,Power BI Developer,2,Analytics Engineer,48.01
2722,Power BI Developer,3,Data Analyst,48.0
2722,Power BI Developer,4,Academic Data Analyst,47.27
2722,Power BI Developer,5,Data Scientist,47.02
2723,Technical Writer,1,Solutions Engineer,48.12
2723,Technical Writer,2,Software Engineer,47.49
2723,Technical Writer,3,BI Developer,47.26
2723,Technical Writer,4,Salesforce Developer,46.49
2723,Technical Writer,5,Enterprise Architect,45.71
2724,Training Manager,1,Learning & Development Manager,43.08
2724,Training Manager,2,Scrum Master,42.54
2724,Training Manager,3,Training Manager,40.36
2724,Training Manager,4,Tableau Specialist,37.18
2724,Training Manager,5,Community Outreach Coordinator,37.12
2725,Deck Officer,1,Strategy Consultant,43.2
2725,Deck Officer,2,Learning & Development Manager,41.89
2725,Deck Officer,3,Web Designer,41.2
2725,Deck Officer,4,Solutions Engineer,40.95
2725,Deck Officer,5,Management Consultant,39.33
2726,QA Engineer,1,QA Engineer,43.5
2726,QA Engineer,2,Software Test Engineer,41.15
2726,QA Engineer,3,React Developer,40.9
2726,QA Engineer,4,Security Tester,38.73
2726,QA Engineer,5,Performance Tester,34.71
2727,Jupyter Developer,1,Jupyter Developer,56.63
2727,Jupyter Developer,2,Python Developer,52.7
2727,Jupyter Developer,3,Academic Data Analyst,43.69
2727,Jupyter Developer,4,Data Scientist,43.42
2727,Jupyter Developer,5,Data Engineer,42.27
2728,Journalist,1,BI Developer,39.79
2728,Journalist,2,Power BI Developer,36.64
2728,Journalist,3,BI Analyst,35.57
2728,Journalist,4,Compliance Officer,35.08
2728,Journalist,5,Academic Data Analyst,35.06
2729,Sales Executive,1,Pre-Sales Engineer,45.32
2729,Sales Executive,2,Software Engineer,45.23
2729,Sales Executive,3,Content Marketing Manager,43.4
2729,Sales Executive,4,Digital Marketing Manager,43.01
2729,Sales Executive,5,Solutions Engineer,42.7
2730,Dairy Manager,1,Livestock Manager,53.07
2730,Dairy Manager,2,Agricultural Engineer,49.84
2730,Dairy Manager,3,Farm Manager,49.37
2730,Dairy Manager,4,Dairy Manager,43.99
2730,Dairy Manager,5,Learning & Development Manager,41.89
2731,Mechanic,1,Scrum Master,50.56
2731,Mechanic,2,Technical Support Specialist,43.46
2731,Mechanic,3,Safety Engineer,43.28
2731,Mechanic,4,IT Field Technician,42.23
2731,Mechanic,5,Management Consultant,40.83
2732,Crane Operator,1,Crane Operator,49.94
2732,Crane Operator,2,AI/ML Specialist,45.06
2732,Crane Operator,3,Safety Engineer,44.48
2732,Crane Operator,4,Machine Learning Engineer,44.11
2732,Crane Operator,5,IT Field Technician,43.21
2733,HR Operations Manager,1,Compliance Officer,50.72
2733,HR Operations Manager,2,HR Operations Manager,45.72
2733,HR Operations Manager,3,Analytics Engineer,45.58
2733,HR Operations Manager,4,Solutions Engineer,44.76
2733,HR Operations Manager,5,Data Engineer,44.19
2734,Legal Secretary,1,Administrative Assistant,46.58
2734,Legal Secretary,2,Executive Assistant,43.8
2734,Legal Secretary,3,Learning & Development Manager,42.16
2734,Legal Secretary,4,Systems Administrator,38.64
2734,Legal Secretary,5,Compliance Officer,38.47
2735,Psychologist,1,Psychologist,50.46
2735,Psychologist,2,Counselor,42.9
2735,Psychologist,3,Learning & Development Manager,41.78
2735,Psychologist,4,Management Consultant,41.16
2735,Psychologist,5,Academic Advisor,39.51
2736,Office Manager,1,Learning & Development Manager,49.36
2736,Office Manager,2,Solution Architect,46.09
2736,Office Manager,3,Strategy Consultant,44.97
2736,Office Manager,4,Management Consultant,44.57
2736,Office Manager,5,Solutions Engineer,43.17
2737,Software Engineer,1,Software Engineer,53.68
2737,Software Engineer,2,Project Engineer,49.66
2737,Software Engineer,3,Solutions Engineer,48.36
2737,Software Engineer,4,Data Engineer,48.22
2737,Software Engineer,5,Software Test Engineer,47.67
2738,Retail Supervisor,1,Shell Script Developer,47.8
2738,Retail Supervisor,2,Learning & Development Manager,44.45
2738,Retail Supervisor,3,Management Consultant,42.75
2738,Retail Supervisor,4,Retail Supervisor,42.47
2738,Retail Supervisor,5,Training Manager,42.4
2739,Livestock Manager,1,Livestock Manager,53.29
2739,Livestock Manager,2,Agricultural Engineer,46.12
2739,Livestock Manager,3,Farm Manager,45.36
2739,Livestock Manager,4,Strategy Consultant,43.57
2739,Livestock Manager,5,Learning & Development Manager,42.14
2740,Audit Manager,1,Compliance Officer,55.18
2740,Audit Manager,2,Audit Manager,50.16
2740,Audit Manager,3,Quality Assurance Manager,49.12
2740,Audit Manager,4,Business Development Manager,47.62
2740,Audit Manager,5,Accountant,46.77
2741,IT Project Manager,1,IT Project Manager,52.81
2741,IT Project Manager,2,Software Architect,47.49
2741,IT Project Manager,3,IT Consultant,47.21
2741,IT Project Manager,4,Management Consultant,46.56
2741,IT Project Manager,5,Solution Architect,45.13
2742,Paralegal,1,Paralegal,50.33
2742,Paralegal,2,Legal Secretary,45.05
2742,Paralegal,3,Law Clerk,36.64
2742,Paralegal,4,Corporate Lawyer,36.49
2742,Paralegal,5,Lawyer,34.83
2743,Cybersecurity Specialist,1,Security Engineer,54.9
2743,Cybersecurity Specialist,2,Security Tester,51.47
2743,Cybersecurity Specialist,3,Cybersecurity Analyst,46.72
2743,Cybersecurity Specialist,4,Network Engineer,43.6
2743,Cybersecurity Specialist,5,Software Test Engineer,42.84
2744,Sports Manager,1,Sports Manager,52.5
2744,Sports Manager,2,Scrum Master,46.57
2744,Sports Manager,3,Marketing Manager,44.77
2744,Sports Manager,4,Business Development Manager,43.98
2744,Sports Manager,5,Product Marketing Manager,42.32
2745,Restaurant Manager,1,Restaurant Manager,46.68
2745,Restaurant Manager,2,Customer Success Manager,44.64
2745,Restaurant Manager,3,Chief Marketing Officer,43.92
2745,Restaurant Manager,4,Marketing Manager,42.89
2745,Restaurant Manager,5,Retail Manager,41.06
2746,Counselor,1,Counselor,55.97
2746,Counselor,2,Occupational Therapist,49.73
2746,Counselor,3,Massage Therapist,45.78
2746,Counselor,4,Psychologist,45.17
2746,Counselor,5,Physical Therapist,43.68
2747,Security Tester,1,Cybersecurity Analyst,57.43
2747,Security Tester,2,Security Engineer,56.91
2747,Security Tester,3,Cybersecurity Specialist,55.46
2747,Security Tester,4,Security Tester,52.36
2747,Security Tester,5,Software Test Engineer,48.77
2748,Visual Merchandiser,1,Instructional Designer,53.45
2748,Visual Merchandiser,2,UX Designer,44.9
2748,Visual Merchandiser,3,Web Designer,44.52
2748,Visual Merchandiser,4,Graphic Designer,44.42
2748,Visual Merchandiser,5,Management Consultant,44.02
2749,Office Manager,1,Scala Developer,46.7
2749,Office Manager,2,Business Development Manager,46.67
2749,Office Manager,3,Learning & Development Manager,44.67
2749,Office Manager,4,Strategy Consultant,44.34
2749,Office Manager,5,Management Consultant,44.06
2750,Safety Engineer,1,Safety Engineer,60.23
2750,Safety Engineer,2,Security Engineer,56.25
2750,Safety Engineer,3,Cybersecurity Analyst,50.28
2750,Safety Engineer,4,Software Test Engineer,48.58
2750,Safety Engineer,5,Solutions Engineer,48.21
2751,Production Manager,1,Safety Engineer,54.44
2751,Production Manager,2,Solutions Engineer,52.3
2751,Production Manager,3,Software Engineer,50.51
2751,Production Manager,4,Project Engineer,49.99
2751,Production Manager,5,Security Engineer,49.6
2752,Learning & Development Manager,1,Learning & Development Manager,55.01
2752,Learning & Development Manager,2,Training Manager,49.52
2752,Learning & Development Manager,3,Project Manager,46.63
2752,Learning & Development Manager,4,IT Project Manager,46.41
2752,Learning & Development Manager,5,Project Engineer,46.05
2753,Server,1,Data Engineer,46.59
2753,Server,2,Cloud Architect,45.36
2753,Server,3,Security Engineer,43.4
2753,Server,4,Solutions Engineer,43.23
2753,Server,5,IT Consultant,42.19
2754,HR Operations Manager,1,Compliance Officer,46.1
2754,HR Operations Manager,2,Solutions Engineer,45.22
2754,HR Operations Manager,3,Business Development Manager,43.98
2754,HR Operations Manager,4,QA Engineer,42.55
2754,HR Operations Manager,5,Management Consultant,42.32
2755,Accountant,1,Accountant,51.04
2755,Accountant,2,Financial Analyst,48.63
2755,Accountant,3,Investment Banking Analyst,42.37
2755,Accountant,4,Business Analyst,40.69
2755,Accountant,5,Academic Data Analyst,37.14
2756,Social Media Content Creator,1,Social Media Content Creator,48.6
2756,Social Media Content Creator,2,Social Media Manager,42.33
2756,Social Media Content Creator,3,Tableau Specialist,40.66
2756,Social Media Content Creator,4,Content Creator,40.58
2756,Social Media Content Creator,5,Content Marketing Manager,35.66
2757,Frontend Developer,1,Web Designer,50.63
2757,Frontend Developer,2,UX Designer,46.15
2757,Frontend Developer,3,React Developer,45.92
2757,Frontend Developer,4,UI Designer,44.03
2757,Frontend Developer,5,Instructional Designer,44.0
2758,Delivery Driver,1,Analytics Engineer,40.62
2758,Delivery Driver,2,MongoDB Developer,39.92
2758,Delivery Driver,3,Spark Developer,38.96
2758,Delivery Driver,4,IT Field Technician,37.78
2758,Delivery Driver,5,Safety Engineer,36.47
2759,Compensation & Benefits Manager,1,Financial Analyst,50.09
2759,Compensation & Benefits Manager,2,Compliance Officer,49.54
2759,Compensation & Benefits Manager,3,Business Analyst,45.49
2759,Compensation & Benefits Manager,4,Investment Banking Analyst,45.43
2759,Compensation & Benefits Manager,5,Strategy Consultant,42.48
2760,Business Consultant,1,Business Development Manager,54.0
2760,Business Consultant,2,Data Engineer,49.58
2760,Business Consultant,3,Analytics Engineer,46.66
2760,Business Consultant,4,Business Consultant,45.09
2760,Business Consultant,5,Solutions Engineer,44.81
2761,Jupyter Developer,1,Jupyter Developer,57.95
2761,Jupyter Developer,2,Academic Data Analyst,47.28
2761,Jupyter Developer,3,Python Developer,46.89
2761,Jupyter Developer,4,Data Scientist,45.01
2761,Jupyter Developer,5,Data Engineer,40.49
2762,Animator,1,Instructional Designer,48.14
2762,Animator,2,Animator,47.11
2762,Animator,3,Software Test Engineer,41.87
2762,Animator,4,Software Engineer,41.19
2762,Animator,5,Graphic Designer,39.28
2763,Release Manager,1,MongoDB Developer,57.1
2763,Release Manager,2,Learning & Development Manager,47.52
2763,Release Manager,3,IT Project Manager,46.93
2763,Release Manager,4,Management Consultant,44.53
2763,Release Manager,5,Cloud Architect,44.05
2764,BI Analyst,1,Data Engineer,53.19
2764,BI Analyst,2,Data Analyst,52.03
2764,BI Analyst,3,Academic Data Analyst,49.95
2764,BI Analyst,4,Oracle Applications Developer,49.18
2764,BI Analyst,5,Data Scientist,47.8
2765,Supply Chain Manager,1,Logistics Manager,59.75
2765,Supply Chain Manager,2,Supply Chain Manager,57.82
2765,Supply Chain Manager,3,Procurement Manager,48.77
2765,Supply Chain Manager,4,Business Development Manager,47.33
2765,Supply Chain Manager,5,Strategy Consultant,44.61
2766,Athletic Trainer,1,Athletic Trainer,47.08
2766,Athletic Trainer,2,Sports Manager,39.67
2766,Athletic Trainer,3,Sports Agent,39.16
2766,Athletic Trainer,4,Training Specialist,37.76
2766,Athletic Trainer,5,Training Manager,37.46
2767,Technical Account Manager,1,Software Engineer,46.74
2767,Technical Account Manager,2,Solutions Engineer,44.76
2767,Technical Account Manager,3,Data Engineer,44.41
2767,Technical Account Manager,4,Web Designer,43.09
2767,Technical Account Manager,5,IT Field Technician,42.57
2768,Copywriter,1,SEO Specialist,45.77
2768,Copywriter,2,Marketing Manager,42.95
2768,Copywriter,3,Product Marketing Manager,42.02
2768,Copywriter,4,Content Marketing Manager,41.74
2768,Copywriter,5,Product Researcher,40.98
2769,Environmental Engineer,1,Environmental Engineer,59.46
2769,Environmental Engineer,2,Environmental Scientist,44.1
2769,Environmental Engineer,3,Sustainability Consultant,43.26
2769,Environmental Engineer,4,Solutions Engineer,43.08
2769,Environmental Engineer,5,Project Engineer,39.65
2770,3D Artist,1,3D Artist,54.71
2770,3D Artist,2,Graphic Designer,53.39
2770,3D Artist,3,Instructional Designer,51.79
2770,3D Artist,4,Software Engineer,49.75
2770,3D Artist,5,Software Architect,48.84
2771,Product Owner,1,Business Development Manager,52.55
2771,Product Owner,2,Scrum Master,52.08
2771,Product Owner,3,Strategy Consultant,50.76
2771,Product Owner,4,Management Consultant,48.97
2771,Product Owner,5,Learning & Development Manager,46.42
2772,Esthetician,1,Esthetician,53.39
2772,Esthetician,2,Instructional Designer,44.58
2772,Esthetician,3,UX Designer,41.24
2772,Esthetician,4,Solutions Engineer,38.87
2772,Esthetician,5,Massage Therapist,38.18
2773,Registered Nurse,1,Registered Nurse,55.09
2773,Registered Nurse,2,Nurse,46.92
2773,Registered Nurse,3,Nursing Manager,45.36
2773,Registered Nurse,4,Clinical Data Manager,37.76
2773,Registered Nurse,5,Healthcare Administrator,34.11
2774,Dairy Manager,1,Livestock Manager,51.85
2774,Dairy Manager,2,Agricultural Engineer,45.63
2774,Dairy Manager,3,Farm Manager,45.42
2774,Dairy Manager,4,Dairy Manager,42.47
2774,Dairy Manager,5,Solutions Engineer,40.12
2775,IoT Engineer,1,IoT Engineer,59.45
2775,IoT Engineer,2,Embedded Systems Engineer,53.1
2775,IoT Engineer,3,Data Engineer,46.99
2775,IoT Engineer,4,Network Engineer,46.86
2775,IoT Engineer,5,IT Field Technician,45.94
2776,Machine Learning Engineer,1,AI/ML Specialist,52.83
2776,Machine Learning Engineer,2,Learning & Development Manager,50.9
2776,Machine Learning Engineer,3,Machine Learning Engineer,48.0
2776,Machine Learning Engineer,4,Scrum Master,46.57
2776,Machine Learning Engineer,5,Software Engineer,45.43
2777,Museum Curator,1,Compliance Officer,49.14
2777,Museum Curator,2,Museum Curator,40.07
2777,Museum Curator,3,Content Marketing Manager,36.64
2777,Museum Curator,4,Community Outreach Coordinator,36.2
2777,Museum Curator,5,Exhibition Designer,35.12
2778,Salesforce Developer,1,Salesforce Developer,45.18
2778,Salesforce Developer,2,Power BI Developer,43.06
2778,Salesforce Developer,3,Security Engineer,42.74
2778,Salesforce Developer,4,QA Engineer,42.35
2778,Salesforce Developer,5,Learning & Development Manager,41.35
2779,Event Coordinator,1,Learning & Development Manager,50.4
2779,Event Coordinator,2,Management Consultant,49.34
2779,Event Coordinator,3,Event Coordinator,49.28
2779,Event Coordinator,4,Business Development Manager,46.86
2779,Event Coordinator,5,Operations Manager,46.46
2780,Tour Guide,1,Security Engineer,50.4
2780,Tour Guide,2,Solutions Engineer,44.22
2780,Tour Guide,3,IT Field Technician,41.24
2780,Tour Guide,4,Solution Architect,41.09
2780,Tour Guide,5,Pre-Sales Engineer,39.73
2781,Firefighter,1,Firefighter,45.85
2781,Firefighter,2,Safety Engineer,43.91
2781,Firefighter,3,Security Engineer,43.07
2781,Firefighter,4,Security Guard,41.48
2781,Firefighter,5,Security Tester,38.21
2782,Business Consultant,1,Business Development Manager,51.28
2782,Business Consultant,2,Data Engineer,45.66
2782,Business Consultant,3,Learning & Development Manager,44.05
2782,Business Consultant,4,Management Consultant,43.8
2782,Business Consultant,5,Security Engineer,43.46
2783,Backend Developer,1,Data Engineer,43.94
2783,Backend Developer,2,Cloud Architect,42.0
2783,Backend Developer,3,Cassandra Developer,40.42
2783,Backend Developer,4,Security Engineer,39.19
2783,Backend Developer,5,Data Scientist,39.0
2784,Electrician,1,IT Field Technician,46.38
2784,Electrician,2,Solutions Engineer,45.63
2784,Electrician,3,Electrician,45.26
2784,Electrician,4,Technical Support Specialist,44.96
2784,Electrician,5,Project Engineer,44.28
2785,Vue Developer,1,Vue Developer,53.32
2785,Vue Developer,2,Web Designer,44.71
2785,Vue Developer,3,SAP Developer,41.37
2785,Vue Developer,4,Salesforce Developer,41.29
2785,Vue Developer,5,Data Engineer,40.4
2786,HR Manager,1,HR Operations Manager,52.6
2786,HR Manager,2,HR Consultant,51.22
2786,HR Manager,3,HR Manager,49.79
2786,HR Manager,4,Compliance Officer,47.08
2786,HR Manager,5,HR Business Partner,41.68
2787,Accountant,1,Accountant,50.3
2787,Accountant,2,Oracle DBA,45.21
2787,Accountant,3,Financial Analyst,43.04
2787,Accountant,4,Investment Banking Analyst,42.09
